title,image,price,size,stock,description,item_category
Cornetto Double Chocolate Cone,https://media-products.airliftexpress.com/large/365bb273-d591-4393-a04b-86cb5c0e0ae6_0017296_walls-ice-cream-cornetto-double-chocolate_500.jpeg,85,Flirty Berry (100 ml),43,"Cornetto Cone combines sweet cream with premium chocolate and roasted nuts for a distinctive flavor and 
the ultimate frozen dessert cone that's certain to satisfy your sweet cravings. Individually wrapped and sealed, 
Cornetto Cone can be enjoyed without a spoon! Add Cornetto Cone to your cart now and receive 
your delivery under 30 minutes via Airlift Express.",1
Walls Cup Mango,https://media-products.airliftexpress.com/large/e6c110b8-0556-4243-9cbf-3c83022cc15d_71019146_2537344196323573_8036813739955060736_n.jpg,60,100ml,34,"Walls Ice Cream combines sweet cream with juicy mangoes for a distinctive flavor and the ultimate experience 
that's certain to satisfy your sweet cravings. Whether you're looking for a delicious sundae or a scoop to 
complement a cake or pie, Walls Ice Cream is perfect for you! Add Walls Ice Cream to your cart now and receive 
your delivery under 30 minutes via Airlift Express.",1
Cornetto Double Chocolate Cone,https://media-products.airliftexpress.com/large/365bb273-d591-4393-a04b-86cb5c0e0ae6_0017296_walls-ice-cream-cornetto-double-chocolate_500.jpeg,85,Double Chocolate,23,"Cornetto Cone combines sweet cream with premium chocolate and roasted nuts for a distinctive flavor and 
the ultimate frozen dessert cone that's certain to satisfy your sweet cravings. Individually wrapped and sealed, 
Cornetto Cone can be enjoyed without a spoon! Add Cornetto Cone to your cart now and receive 
your delivery under 30 minutes via Airlift Express.",1
Walls Strawberry & Vanilla Moo Cup,https://media-products.airliftexpress.com/large/dab2e725-1eeb-43c8-a4ab-cd65250bdd55_Walls%20Strawberry%20%26%20Vanilla%20Moo%20Cup.jpeg,25,60ml,34,"Walls Ice Cream combines sweet Vanilla with juicy strawberries for a distinctive flavor and the ultimate 
experience that's certain to satisfy your sweet cravings. Whether you're looking for a delicious sundae or a 
scoop to complement a cake or pie, Walls Ice Cream is perfect for you! Add Walls Ice Cream to your cart now 
and receive your delivery under 30 minutes via Airlift Express.",1
Walls Strawberry Vanilla Mini Cone,https://media-products.airliftexpress.com/large/73ab7dc7-b607-4235-a759-6450acb0baa6_Pop-Cone-100ml.jpg,30,50ml,43,"Walls Strawberry-Vanilla Mini Cone combines sweet Vanilla with juicy strawberries for a distinctive flavor and 
the ultimate frozen dessert bar that's certain to satisfy your sweet cravings. Individually wrapped and sealed, 
Walls Strawberry Vanilla Mini Cone can be enjoyed without a spoon! Add Walls Strawberry Vanilla Mini Cone to 
your cart now and receive your delivery under 30 minutes via Airlift Express.",1
Wall's King kulfa slice 80ml,https://media-products.airliftexpress.com/large/4d56d50d-2c9e-4e97-b647-7bb7108e83fa_king%20kulf.png,60,80 ml,23,KIng kulfa slice,1
Walls Classic Vanilla 800ml,https://media-products.airliftexpress.com/large/91b32d64-fae0-449a-993f-7eba92ab63b5_Walls-Classic-Vanilla-Ice-Cream-Bar-600x600.jpg,290,800 ml,35,"Walls Ice Cream combines sweet cream with premium Vanilla for a distinctive flavor and the ultimate experience 
that's certain to satisfy your sweet cravings. Whether you're looking for a delicious sundae or a scoop to 
complement a cake or pie, Walls Ice Cream is perfect for you! Add Walls Ice Cream to your cart now and receive 
your delivery under 30 minutes via Airlift Express.",1
Walls Donut Ice Cream Stick 85ml,https://media-products.airliftexpress.com/large/b5e35210-ffe5-4ac6-b107-758982c95a9d_Walls%20Donut.jpg,60,85 ml,65,"Shaped like a donut, Walls Donut combines sweet cream with premium chocolate for a distinctive flavor 
and the ultimate frozen dessert bar that's certain to satisfy your sweet cravings. Individually wrapped and sealed, 
Walls Donut can be enjoyed without a spoon! Add Walls Donut to your cart now and receive your delivery 
under 30 minutes via Airlift Express.",1
Walls Cornetto Brownie Disk Cone,https://media-products.airliftexpress.com/large/b53d864d-27ce-48f8-ab5f-14a9c9ccf66e_Walls%20Cornetto%20Brownie%20Disk.jpeg,100,1 Piece,34,,1
Walls Strawberry Pop Cone,https://media-products.airliftexpress.com/large/983393d2-7ecb-4f63-acb1-f6aa96851d12_wals%20pop.png,50,100ml,23,"Walls Strawberry Pop Cone combines sweet Vanilla with juicy strawberries for a distinctive flavor and 
the ultimate frozen dessert bar that's certain to satisfy your sweet cravings. Individually wrapped and sealed, 
Walls Strawberry Pop Cone can be enjoyed without a spoon! Add Walls Strawberry Pop Cone to 
your cart now and receive your delivery under 30 minutes via Airlift Express.",1
Walls Choc Bar,https://media-products.airliftexpress.com/large/0d4a1467-e2bb-4c4e-a9b5-2916e99be38d_grocerapp-walls-choc-bar-5eb665a680bcb.jpg,38,50ml,24,"Walls Choc Bar combines sweet cream with premium chocolate for a distinctive flavor and 
the ultimate frozen dessert bar that's certain to satisfy your sweet cravings. Individually wrapped and sealed, 
Walls Choc Bar can be enjoyed without a spoon! Add Walls Choc Bar to your cart now and receive 
your delivery under 30 minutes via Airlift Express.",1
Walls Magnum Almond Ice Cream Stick 80ml,https://media-products.airliftexpress.com/large/4da86ad1-edc8-4f7b-a197-e8a246821802_Magnum%20Almond.jpg,199,80 ml,56,"Magnum Bar combines sweet cream with premium chocolate and roasted almonds for a distinctive flavor and 
the ultimate frozen dessert bar that's certain to satisfy your sweet cravings. Individually wrapped and sealed, 
Magnum Bar can be enjoyed without a spoon! Add Magnum Bar to your cart now and receive 
your delivery under 30 minutes via Airlift Express.",1
Wall's Precious Pista 800ml,https://media-products.airliftexpress.com/large/25687c61-0a4a-487d-821d-e53a0d7507fc_Walls%20Precious%20Pista.jpg,320,800 ml,32,"Walls Precious Pista Ice Cream combines sweet cream with roasted pistachios for a distinctive flavor 
and the ultimate experience that's certain to satisfy your sweet cravings. Whether you're looking for a 
delicious sundae or a scoop to complement a cake or pie, Walls Precious Pista Ice Cream is perfect for you! Add 
Walls Precious Pista to your cart now and receive your delivery under 30 minutes via Airlift Express.",1
Walls King Kulfa Ice Cream 1400ml,https://media-products.airliftexpress.com/large/5687ed9f-1a50-4ca8-97e1-4c60dad2165c_woo.jpg,550,Chocolate Caramel Crunch,75,"Walls King Kulfa Ice Cream combines sweet cream with roasted nuts for a distinctive flavor and the 
ultimate experience that's certain to satisfy your sweet cravings. Whether you're looking for a delicious sundae 
or a scoop to complement a cake or pie, Walls King Kulfa Ice Cream is perfect for you! Add Walls King Kulfa 
Ice Cream to your cart now and receive your delivery under 30 minutes via Airlift Express.",1
Walls King Kulfa Ice Cream 1400ml,https://media-products.airliftexpress.com/large/5687ed9f-1a50-4ca8-97e1-4c60dad2165c_woo.jpg,550,King Kulfa,76,"Walls King Kulfa Ice Cream combines sweet cream with roasted nuts for a distinctive flavor and the 
ultimate experience that's certain to satisfy your sweet cravings. Whether you're looking for a delicious sundae 
or a scoop to complement a cake or pie, Walls King Kulfa Ice Cream is perfect for you! Add Walls King Kulfa 
Ice Cream to your cart now and receive your delivery under 30 minutes via Airlift Express.",1
Walls Jet Sport Orange Stick 50ml,https://media-products.airliftexpress.com/large/4c3d389e-1bc3-450a-ba2c-c0f10d93e3f0_download%20%281%29.jpg,20,50 ml,45,"The ultimate summertime treat, Walls Jet Sport is deliciously fruity and bursting with flavor. A refreshing snack 
for everyone, Walls Jet Sport is perfect for you! Add Walls Jet Sport to your cart now and receive your delivery 
under 30 minutes via Airlift Express.",1
Walls Creamy Delight Blushing Strawberry 800ml,https://media-products.airliftexpress.com/large/031977f9-1be7-463b-9c34-30992aeda7cd_strwbe.png,290,800 ml,24,,1
Walls Magnum Classic Stick 90ml,https://media-products.airliftexpress.com/large/3f286b58-ac13-4e03-9bbf-61b9eb29c8b7_Walls%20Magnum%20Classic.jpg,199,90 ml,76,"Magnum Bar combines sweet cream with premium chocolate for a distinctive flavor and the ultimate frozen 
dessert bar that's certain to satisfy your sweet cravings. Individually wrapped and sealed, Magnum Bar can be 
enjoyed without a spoon! Add Magnum Bar to your cart now and receive your delivery under 30 minutes via 
Airlift Express.",1
Walls Chocolate Vanilla Mini,https://media-products.airliftexpress.com/large/b77f3f01-a5af-4743-8cf4-65ec01b7ef12_Walls%20Chocolate%20Vanilla%20Mini.jpg,30,50ml mini,46,"Walls Ice Cream combines sweet Vanilla with premium chocolate for a distinctive flavor and the ultimate 
experience that's certain to satisfy your sweet cravings. Whether you're looking for a delicious sundae or a 
scoop to complement a cake or pie, Walls Ice Cream is perfect for you! Add Walls Ice Cream to your cart now 
and receive your delivery under 30 minutes via Airlift Express.",1
Walls Cheeky Chaunsa Mango 800ml,https://media-products.airliftexpress.com/large/65280900-a007-4c99-afee-e68f578bea1f_WALLS-CREAMY-DELIGHTS-CHAUNSA-MANGO-ICE-CREAM-800-ML.jpg,290,800 ml,53,"Walls Creamy Delights Ice Cream combines sweet cream with juicy mangoes for a distinctive flavor 
and the ultimate experience that's certain to satisfy your sweet cravings. Whether you're looking for a 
delicious sundae or a scoop to complement a cake or pie, Walls Ice Cream is perfect for you! Add Walls Creamy 
Delights to your cart now and receive your delivery under 30 minutes via Airlift Express.",1
Walls Majestic King K 800ml,https://media-products.airliftexpress.com/large/b023ffb3-d62a-4009-a3ed-d5accd2ce1c1_Walls%20Majestic%20King%20K.jpeg,320,800 ml,54,"Walls Creamy Delights Ice Cream combines sweet cream with roasted almonds for a distinctive flavor 
and the ultimate experience that's certain to satisfy your sweet cravings. Whether you're looking for a 
delicious sundae or a scoop to complement a cake or pie, Walls Ice Cream is perfect for you! Add Walls Creamy 
Delights to your cart now and receive your delivery under 30 minutes via Airlift Express.",1
Cornetto Double Chocolate Cone,https://media-products.airliftexpress.com/large/365bb273-d591-4393-a04b-86cb5c0e0ae6_0017296_walls-ice-cream-cornetto-double-chocolate_500.jpeg,85,Classico,98,"Cornetto Cone combines sweet cream with premium chocolate and roasted nuts for a distinctive flavor and 
the ultimate frozen dessert cone that's certain to satisfy your sweet cravings. Individually wrapped and sealed, 
Cornetto Cone can be enjoyed without a spoon! Add Cornetto Cone to your cart now and receive 
your delivery under 30 minutes via Airlift Express.",1
Walls Feast Chocolate Ice Cream 80ml,https://media-products.airliftexpress.com/large/7b2b7944-59eb-4a74-aa9a-d7a38eaa3c25_Walls%20Feast%20Chocolate.jpg,70,80 ml,34,"Walls Feast combines sweet cream with premium chocolate for a distinctive flavor and the ultimate frozen 
dessert bar that's certain to satisfy your sweet cravings. Individually wrapped and sealed, Walls Feast can be 
enjoyed without a spoon! Add Walls Feast to your cart now and receive your delivery under 30 minutes via 
Airlift Express.",1
